,word,coef_value
335,nonfinancial,-0.2888723997496698
336,receivable,-0.2887250466595901
337,delinquent,-0.2867901115907491
338,declared,-0.2833407355522926
339,fairly,-0.2828426913623732
340,manager,-0.28203301489178306
341,entering,-0.2810964851796971
342,practical,-0.2810641268245609
343,informed,-0.2807255050506487
344,carry,-0.28063776307014077
345,brokerage,-0.2802194045163237
346,evaluate,-0.2795992008628623
347,register,-0.2793221602093186
348,strategy,-0.2792518790810473
349,expanded,-0.2789193223135657
350,behavior,-0.2779610228351832
351,failure,-0.2777128347734101
352,advertising,-0.27615231509675237
353,possibility,-0.27598232566092157
354,negative,-0.2752237713082754
355,perspective,-0.27476289904069334
356,advanced,-0.2744462996976599
357,correct,-0.2735017863503833
358,format,-0.2732609306745962
359,shareholder,-0.27310305823740894
360,transfer,-0.27206133941435223
361,unregistered,-0.2716142746029826
362,deficit,-0.2701261047757462
363,unable,-0.2697641126118116
364,blue,-0.26966173541133387
365,experienced,-0.2696207774875918
366,salary,-0.2693461244970059
367,fee,-0.2692026181855928
368,reasonable,-0.26720455265215176
369,understood,-0.2668967672116921
370,leasehold,-0.26671839502439443
371,reflective,-0.26608588005609113
372,appreciation,-0.26571809756362375
373,initiate,-0.26536385835825405
374,da,-0.2646599687490337
375,disrupt,-0.26401185079321376
376,start,-0.26365285810290645
377,restrict,-0.2625866925595714
378,question,-0.26174362463698186
379,impair,-0.26104313395100487
380,protect,-0.26095719081252705
381,assumed,-0.26045280287464756
382,retail,-0.2582942037014571
383,minus,-0.25737566504588544
384,work,-0.25652968307289387
385,disclose,-0.2557431072417782
386,inquiry,-0.2556934754153618
387,cancellation,-0.25559247774843286
388,doing,-0.25548566328137784
389,san,-0.25334612752991903
390,separately,-0.2528227654901409
391,lack,-0.25247573853055266
392,complexity,-0.2521396724381334
393,recoverability,-0.25181539926515256
394,require,-0.2517266819923097
395,breach,-0.25166758401543066
396,unrecognized,-0.25162511894520223
397,convertible,-0.25134486246523513
398,meaningful,-0.250935618689822
399,day,-0.2507498806186184
400,hereto,-0.2507370533258087
401,sold,-0.25052153140951156
402,resolved,-0.24888541139976864
403,method,-0.247896259061707
404,conditional,-0.24769902923600745
405,able,-0.24768755681698917
406,providing,-0.24646108379321
407,adoption,-0.24642510547181318
408,proceeds,-0.24631857853579706
409,collect,-0.24597970233217567
410,lessee,-0.245185412463988
411,temporarily,-0.24419230136550832
412,direct,-0.24410491968116957
413,meet,-0.2431481053387621
414,federal,-0.241873801627088
415,preliminary,-0.24182787241691034
416,republic,-0.24117434464446919
417,black,-0.2409344380777967
418,prevent,-0.24032088666740012
419,requirement,-0.24026574902106104
420,lose,-0.2399756357683014
421,priority,-0.2378972664073944
422,designate,-0.2377107195971066
423,indemnification,-0.23741719794541166
424,consistently,-0.2356275943906054
425,effort,-0.2350954733954526
426,pacific,-0.23505546086468682
427,relevant,-0.23477267511133576
428,declined,-0.23388886215804297
429,reason,-0.2338247616208399
430,sign,-0.2330585693379755
431,equal,-0.23266643781472815
432,wide,-0.23254108643060872
433,departure,-0.23233109458255144
434,contents,-0.2318749188740742
435,nature,-0.23112149701502394
436,staff,-0.2309714777027905
437,error,-0.23076646985587362
438,typically,-0.2304444260281437
439,lead,-0.23036405172985572
440,gain,-0.2298367122054209
441,liable,-0.22850277363531163
442,pledge,-0.2284531252315494
443,comparability,-0.2284303569199013
444,incorporate,-0.22839457941290117
445,plus,-0.22838488952311323
446,support,-0.22827495724525265
447,footnote,-0.22823462331992136
448,supply,-0.2277170901679208
449,extended,-0.2270071039252617
450,conference,-0.22629758844490513
451,unusual,-0.22629728479827807
452,sought,-0.22531217672767984
453,unconditionally,-0.22420408191260163
454,implementation,-0.22376164939204146
455,repay,-0.22296484534122832
456,weakness,-0.22259394447717978
457,treatment,-0.22239987178199147
458,party,-0.22236355702746138
459,incidental,-0.22142149004562162
460,base,-0.22103389750412897
461,interfere,-0.22101841249666165
462,versus,-0.22085028747619517
463,guarantee,-0.22075912356250396
464,continuation,-0.22018716285457246
465,driver,-0.21960382725696873
466,proxy,-0.21849159524464412
467,recording,-0.2181139991256814
468,brought,-0.21724801026985963
469,read,-0.21711988051454217
470,demand,-0.21683146374635795
471,removal,-0.2163150422250458
472,hour,-0.21540028566337174
473,proportionate,-0.21522777561953385
474,patient,-0.21484056211349337
475,storage,-0.21470983072704536
476,notwithstanding,-0.2144223035190247
477,charge,-0.21323854411392135
478,realization,-0.21267411032394123
479,assert,-0.21234380106400105
480,spend,-0.2106598129167789
481,activity,-0.2101829031891886
482,proceeding,-0.21007461092196597
483,mitigate,-0.2099276881946538
484,cancel,-0.20986603978365748
485,joint,-0.20954713253692953
486,serif,-0.20878868744451518
487,leverage,-0.20868051430364698
488,application,-0.20769129731655908
489,specific,-0.20684149047577427
490,action,-0.20657800751807115
491,experience,-0.20652440554607704
492,injury,-0.20628282360670197
493,medical,-0.2054109123803427
494,heading,-0.20528762167326065
495,instead,-0.2051449297448542
