,datetime,price,ticker,date,sp500,ln_return_index,ln_return_price,roll_resid,year,month
12523,2017-02-10,126.51000213623048,ALXN,2017-02-10,4435.419922,0.003618376838179387,-0.004495450497551757,-0.004495450497551757,2017,2
12530,2017-02-13,127.7699966430664,ALXN,2017-02-13,4459.830078,0.0054883712709535475,0.009910373017537383,0.009910373017537383,2017,2
12537,2017-02-14,129.5,ALXN,2017-02-14,4478.97998,0.004284671264417792,0.013449134809614361,0.013449134809614361,2017,2
12544,2017-02-15,132.0,ALXN,2017-02-15,4501.990234000001,0.005124235756618155,0.019121041446778377,0.019121041446778377,2017,2
12551,2017-02-16,130.38999938964844,ALXN,2017-02-16,4498.560059,-0.0007622145434235749,-0.01227196783195912,-0.01227196783195912,2017,2
12558,2017-02-17,128.82000732421878,ALXN,2017-02-17,4506.200195,0.0016969108822023683,-0.012113816779444724,-0.012113816779444724,2017,2
12565,2017-02-21,129.88999938964844,ALXN,2017-02-21,4533.459961,0.006031166694459637,0.00827179574523741,0.00827179574523741,2017,2
12572,2017-02-22,130.83000183105472,ALXN,2017-02-22,4528.970215,-0.0009908482118225446,0.007210850798259474,0.007210850798259474,2017,2
12579,2017-02-23,130.44000244140622,ALXN,2017-02-23,4531.3901369999985,0.0005341778833349015,-0.002985414880646701,-0.002985414880646701,2017,2
12586,2017-02-24,131.53999328613278,ALXN,2017-02-24,4539.25,0.0017330342398080333,0.008397567194887505,0.008397567194887505,2017,2
12593,2017-02-27,132.19999694824222,ALXN,2017-02-27,4544.509765999999,0.00115805937702347,0.005004967500480011,0.005004967500480011,2017,2
12600,2017-02-28,131.25,ALXN,2017-02-28,4532.930176,-0.002551291191135951,-0.007212002861451752,-0.007212002861451752,2017,2
12607,2017-03-01,134.21000671386722,ALXN,2017-03-01,4595.72998,0.013759038818167216,0.02230188596306929,0.02230188596306929,2017,3
12614,2017-03-02,132.94000244140622,ALXN,2017-03-02,4569.169922,-0.005796055088306661,-0.009507870456644259,-0.009507870456644259,2017,3
12621,2017-03-03,134.99000549316406,ALXN,2017-03-03,4571.600098,0.000531722393614369,0.015302825335695108,0.015302825335695108,2017,3
12628,2017-03-06,133.33000183105472,ALXN,2017-03-06,4556.720215,-0.0032601608333631235,-0.012373470453232645,-0.012373470453232645,2017,3
12635,2017-03-07,129.17999267578122,ALXN,2017-03-07,4543.75,-0.0028504513449460634,-0.03162054795407221,-0.03162054795407221,2017,3
12642,2017-03-08,127.41000366210938,ALXN,2017-03-08,4534.680176,-0.001998104703503551,-0.013796462170543995,-0.013796462170543995,2017,3
12649,2017-03-09,126.5500030517578,ALXN,2017-03-09,4538.3598630000015,0.0008111255292450772,-0.006772750629835775,-0.006772750629835775,2017,3
12656,2017-03-10,127.30999755859376,ALXN,2017-03-10,4553.279785,0.003282122031046114,0.005987526790523603,0.005987526790523603,2017,3
12663,2017-03-13,124.73999786376952,ALXN,2017-03-13,4556.439941,0.0006937987604039547,-0.02039348392418072,-0.02039348392418072,2017,3
12670,2017-03-14,121.5999984741211,ALXN,2017-03-14,4541.259765999999,-0.003337148856700906,-0.02549459698879126,-0.02549459698879126,2017,3
12677,2017-03-15,122.12000274658205,ALXN,2017-03-15,4579.439941,0.008372251964204193,0.004267233373801943,0.004267233373801943,2017,3
12684,2017-03-16,122.41000366210938,ALXN,2017-03-16,4572.160156,-0.0015909319590687416,0.0023719056466484094,0.0023719056466484094,2017,3
12691,2017-03-17,122.08000183105469,ALXN,2017-03-17,4566.169922,-0.0013110130202890584,-0.0026995134692142145,-0.0026995134692142145,2017,3
12698,2017-03-20,120.1999969482422,ALXN,2017-03-20,4557.120117,-0.0019838913219940323,-0.01551958582284961,-0.01551958582284961,2017,3
12705,2017-03-21,118.6999969482422,ALXN,2017-03-21,4500.97998,-0.012395724322598438,-0.012557720806323093,-0.012557720806323093,2017,3
12712,2017-03-22,120.08000183105469,ALXN,2017-03-22,4509.649902,0.0019243770500165255,0.011558926668045984,0.011558926668045984,2017,3
12719,2017-03-23,120.26000213623048,ALXN,2017-03-23,4504.919922,-0.0010494079088464025,0.001497880801025997,0.001497880801025997,2017,3
12726,2017-03-24,119.26000213623048,ALXN,2017-03-24,4501.1098630000015,-0.0008461129528237936,-0.008350081767515689,-0.008350081767515689,2017,3
