,ticker,year,month,gs_poswords,gs_negwords
192,BIIB,2011,12,90,199
193,BIIB,2012,1,59,73
194,BIIB,2012,5,59,73
195,BIIB,2012,6,59,73
196,BIIB,2012,9,4397,7653
197,BIIB,2012,10,90,199
198,BIIB,2012,12,59,73
199,BIIB,2013,4,118,146
200,BIIB,2013,5,118,146
201,BIIB,2013,6,19072,41953
202,BIIB,2013,7,228864,503436
203,BIIB,2013,8,59,73
204,BIIB,2013,9,4398,7633
205,BIIB,2013,12,149,272
206,BIIB,2014,2,118,146
207,BIIB,2014,5,59,73
208,BIIB,2014,8,298,544
209,BIIB,2014,9,149,272
210,BIIB,2014,10,4658,7658
211,BIIB,2014,11,59,73
212,BIIB,2014,12,118,146
213,BIIB,2015,2,90,199
214,BIIB,2015,4,59,73
215,BIIB,2015,8,177,219
216,BIIB,2015,9,59,73
217,BIIB,2015,10,59,73
218,BIIB,2016,1,177,219
219,BIIB,2016,5,177,220
220,BIIB,2016,8,295,365
221,BIIB,2016,10,180,398
222,BIIB,2016,12,149,272
223,BIIB,2017,1,118,146
224,BIIB,2017,2,295,365
225,BIIB,2017,3,90,199
226,BIIB,2017,4,329,670
227,BIIB,2017,5,90,199
228,BIIB,2017,7,239,471
229,BIIB,2017,8,118,146
230,BIIB,2017,9,177,219
231,BIIB,2017,10,18010,50270
232,BIIB,2017,11,329,670
233,BIIB,2017,12,59,73
234,BIIB,2018,1,33617,93349
235,BIIB,2018,3,118,146
236,BIIB,2018,4,5606,11917
237,BIIB,2018,5,90,199
238,BIIB,2018,7,17944,48937
239,BIIB,2018,8,118,146
240,BIIB,2018,9,59,73
241,BIIB,2018,10,149,272
242,BIIB,2018,11,59,73
243,BIIB,2019,1,57430,110536
244,BIIB,2019,2,85757,165061
245,BIIB,2019,3,89666,212703
246,BIIB,2019,4,58646,151960
247,BIIB,2019,5,85788,165187
248,BIIB,2019,6,171694,330520
249,BIIB,2019,7,1369,3033
250,BIIB,2019,8,25647,48139
251,BIIB,2019,9,25408,47668
252,BIIB,2019,10,285,661
253,BIIB,2019,11,270,597
254,BIIB,2019,12,4701,7415
255,BIIB,2020,1,187687,395264
256,BIIB,2020,2,15,64
257,BIIB,2020,4,298,544
258,BIIB,2020,5,10935,19984
259,BIIB,2020,6,10201,18770
260,BIIB,2020,7,90,199
261,BIIB,2020,8,940,2167
262,BIIB,2020,9,90,199
263,BIIB,2020,10,354,438
264,BIIB,2020,11,354,438
265,BIIB,2020,12,295,365
266,GILD,2010,1,180,398
267,GILD,2010,2,11349,33879
268,GILD,2010,4,90,199
269,GILD,2010,5,59,73
270,GILD,2010,7,59,73
271,GILD,2010,8,180,398
272,GILD,2011,1,90,199
273,GILD,2011,2,59,73
274,GILD,2011,3,90,199
275,GILD,2011,5,149,272
276,GILD,2011,7,59,73
277,GILD,2011,9,59,73
278,GILD,2011,10,180,398
279,GILD,2011,11,90,225
280,GILD,2011,12,298,544
281,GILD,2012,1,90,199
282,GILD,2012,2,1232,2348
283,GILD,2012,4,59,73
284,GILD,2012,6,59,73
285,GILD,2012,10,90,199
286,GILD,2012,11,59,73
287,GILD,2012,12,59,73
288,GILD,2013,4,167884,402396
289,GILD,2013,10,90,199
290,GILD,2013,11,59,74
291,GILD,2013,12,59,73
292,GILD,2014,2,18429,42017
293,GILD,2014,3,146960,335552
294,GILD,2014,4,295,365
295,GILD,2014,5,21437,48679
296,GILD,2014,6,157501,351508
297,GILD,2014,7,170611,388337
298,GILD,2014,8,419,869
