,ticker,year,month,mthly_ave_resid,sec_pos_words,sec_neg_words,mthly_filing_count,gs_poswords,gs_negwords
106,ALXN,2019,3,-5.281352989203321e-05,0.0,0.0,0.0,16461.0,51929.0
107,ALXN,2019,4,0.00033348466200723386,11886.0,15794.0,2.0,119277.0,385952.0
108,ALXN,2019,5,-0.008191948223625733,460.0,971.0,1.0,388.0,743.0
109,ALXN,2019,6,0.007082856034868003,0.0,0.0,0.0,90.0,199.0
110,ALXN,2019,7,-0.006595168009275085,10897.0,18883.0,2.0,149.0,272.0
111,ALXN,2019,8,-0.0053277017400492925,0.0,0.0,0.0,149.0,272.0
112,ALXN,2019,9,-0.0014193200741921784,1941.0,4615.0,2.0,148.0,274.0
113,ALXN,2019,10,0.003191633886197823,25305.0,42730.0,4.0,254.0,535.0
114,ALXN,2019,11,0.0018532691111937828,0.0,0.0,0.0,390.0,924.0
115,AMGN,2010,5,0.0013903364726338186,13128.0,21068.0,2.0,59.0,73.0
116,AMGN,2010,6,0.0007141881811803184,0.0,0.0,0.0,0.0,0.0
117,AMGN,2010,7,0.0017159474198814692,2793.0,5510.0,3.0,90.0,199.0
118,AMGN,2010,8,-0.0030064240717312635,13589.0,16192.0,1.0,239.0,471.0
119,AMGN,2010,9,0.0036534067617291525,4054.0,7259.0,1.0,59.0,73.0
120,AMGN,2010,10,0.0017641826163879758,3301.0,6025.0,2.0,149.0,272.0
121,AMGN,2010,11,-0.0039025417027070118,12880.0,16542.0,1.0,570.0,1186.0
122,AMGN,2010,12,0.0018676235523489343,2219.0,4464.0,2.0,270.0,597.0
123,AMGN,2011,1,0.00016366653973657062,2432.0,4399.0,2.0,149.0,272.0
124,AMGN,2011,2,-0.003711120782083089,16420.0,20204.0,1.0,0.0,0.0
125,AMGN,2011,3,0.00175961910871828,271.0,717.0,1.0,0.0,0.0
126,AMGN,2011,4,0.0030834770805580874,1912.0,3776.0,1.0,118.0,146.0
127,AMGN,2011,5,0.002994672636197641,18223.0,22452.0,2.0,0.0,0.0
128,AMGN,2011,6,-0.0016747720970066008,4491.0,8512.0,1.0,0.0,0.0
129,AMGN,2011,7,-0.0032297804603235968,2486.0,4462.0,1.0,0.0,0.0
130,AMGN,2011,8,0.0005528651269798834,19624.0,19714.0,1.0,90.0,199.0
131,AMGN,2011,9,-0.0003797138114357405,0.0,0.0,0.0,90.0,199.0
132,AMGN,2011,10,0.0019605382448961255,2813.0,5280.0,2.0,239.0,471.0
133,AMGN,2011,11,0.0005291973430446821,13125.0,25131.0,5.0,0.0,0.0
134,AMGN,2011,12,0.004917565187849704,12138.0,22832.0,3.0,90.0,199.0
135,AMGN,2012,1,0.0028159410074043633,10850.0,16324.0,2.0,90.0,199.0
136,AMGN,2012,2,5.8850845118372555e-05,11979.0,20258.0,2.0,0.0,0.0
137,AMGN,2012,3,-2.6742512731597132e-05,1212.0,2447.0,2.0,0.0,0.0
138,AMGN,2012,4,0.0022580766580321604,11929.0,22957.0,3.0,0.0,0.0
139,AMGN,2012,5,-0.0010278886276727907,16035.0,27810.0,3.0,118.0,146.0
140,AMGN,2012,6,0.0022672105417293354,0.0,0.0,0.0,0.0,0.0
141,AMGN,2012,7,0.0059420860956037064,2837.0,5341.0,1.0,90.0,199.0
142,AMGN,2012,8,0.0006893165310943368,7636.0,12913.0,1.0,180.0,398.0
143,AMGN,2012,9,0.00023154224221241237,2907.0,6081.0,3.0,59.0,86.0
144,AMGN,2012,10,0.0012269300356300933,2657.0,5136.0,1.0,4962.0,20750.0
145,AMGN,2012,11,0.0012551385116908113,13937.0,19240.0,1.0,59.0,73.0
146,AMGN,2012,12,-0.0014858271049171094,1268.0,3258.0,4.0,149.0,272.0
147,AMGN,2013,1,-0.00041055822683233156,2956.0,5324.0,1.0,59.0,73.0
148,AMGN,2013,2,0.0036229939448370278,16592.0,19693.0,2.0,59.0,73.0
149,AMGN,2013,3,0.0056537535589850805,2289.0,4311.0,1.0,59.0,73.0
150,AMGN,2013,4,0.0007476231629262961,2170.0,4459.0,1.0,0.0,0.0
151,AMGN,2013,5,-0.0016341775883761212,14160.0,20146.0,2.0,59.0,73.0
152,AMGN,2013,6,-0.0009388272675290358,0.0,0.0,0.0,0.0,0.0
153,AMGN,2013,7,0.004233326780482664,2661.0,5453.0,3.0,59.0,73.0
154,AMGN,2013,8,0.00027202146688160223,29750.0,45565.0,2.0,118.0,146.0
155,AMGN,2013,9,0.001349350981537543,7218.0,14341.0,1.0,4557.0,7892.0
156,AMGN,2013,10,0.0016092191605112235,17095.0,26530.0,4.0,59.0,73.0
157,AMGN,2013,11,-0.000894819098599493,91.0,372.0,1.0,149.0,272.0
158,AMGN,2013,12,-6.112835105823034e-18,0.0,0.0,0.0,0.0,0.0
159,AMGN,2014,1,0.0019906303988836897,3284.0,6294.0,2.0,118.0,146.0
160,AMGN,2014,2,0.002196821303204672,15254.0,19532.0,1.0,18370.0,41944.0
161,AMGN,2014,3,-0.0002618131419942817,0.0,0.0,0.0,165330.0,377496.0
162,AMGN,2014,4,-0.004699071732309249,15645.0,23661.0,4.0,0.0,0.0
163,AMGN,2014,5,0.0017733204087018405,10696.0,19839.0,2.0,0.0,0.0
164,AMGN,2014,6,0.0009672082425117765,325.0,914.0,1.0,139131.0,309564.0
165,AMGN,2014,7,0.0033380866891511954,11417.0,20441.0,2.0,59.0,73.0
166,AMGN,2014,8,0.0042833718434407905,13611.0,18878.0,1.0,0.0,0.0
167,AMGN,2014,9,0.0003675594041555112,0.0,0.0,0.0,0.0,0.0
168,AMGN,2014,10,0.006251477644580382,16135.0,24313.0,4.0,5762.0,9485.0
169,AMGN,2014,11,0.0010060894705738962,0.0,0.0,0.0,5864.0,9539.0
170,AMGN,2014,12,-0.0016861857335647744,0.0,0.0,0.0,941.0,2266.0
171,AMGN,2015,1,-0.002256842417865046,2460.0,4267.0,1.0,0.0,0.0
172,AMGN,2015,2,0.0018543035236089998,15206.0,20677.0,2.0,0.0,0.0
173,AMGN,2015,3,0.0006097544063412371,100.0,423.0,1.0,59.0,73.0
174,AMGN,2015,4,-0.0005814590485213956,15772.0,23884.0,3.0,0.0,0.0
175,AMGN,2015,5,-0.0005252011127535579,6011.0,11094.0,2.0,0.0,0.0
176,AMGN,2015,6,-0.0008041078129617108,0.0,0.0,0.0,59.0,73.0
177,AMGN,2015,7,0.006363625507166912,2326.0,4340.0,1.0,0.0,0.0
178,AMGN,2015,8,-0.0072094545120918,13400.0,18746.0,1.0,59.0,73.0
179,AMGN,2015,9,-0.004422009600327964,0.0,0.0,0.0,118.0,146.0
180,AMGN,2015,10,0.006098349293723098,2243.0,4120.0,1.0,59.0,73.0
181,AMGN,2015,11,0.0009145874640612582,13465.0,18647.0,1.0,118.0,146.0
182,AMGN,2015,12,0.00034572652423419206,0.0,0.0,0.0,0.0,0.0
183,AMGN,2016,1,-0.003208404368114531,2333.0,4167.0,1.0,177.0,219.0
184,AMGN,2016,2,-0.0035437345053867973,23559.0,34363.0,4.0,177.0,219.0
185,AMGN,2016,3,0.002380524143418972,3601.0,7563.0,2.0,0.0,0.0
186,AMGN,2016,4,0.002586834119495058,1818.0,3747.0,1.0,59.0,73.0
