,ticker,date,poswords,negwords,daily_filing_count
75,ALXN,2007-04-02,334.0,356.0,1
76,ALXN,2007-04-03,113.0,329.0,1
77,ALXN,2007-05-02,632.0,1358.0,1
78,ALXN,2007-05-09,4371.0,8567.0,1
79,ALXN,2007-05-14,607.0,1204.0,1
80,ALXN,2007-05-31,91.0,333.0,1
81,ALXN,2007-07-23,1281.0,3128.0,1
82,ALXN,2007-07-25,771.0,1575.0,1
83,ALXN,2007-08-07,5086.0,9419.0,2
84,ALXN,2007-10-26,715.0,1620.0,1
85,ALXN,2007-11-09,5070.0,9478.0,1
86,ALXN,2008-02-04,53.0,301.0,1
87,ALXN,2008-02-14,1964.0,4202.0,1
88,ALXN,2008-02-29,10159.0,18283.0,1
89,ALXN,2008-04-30,727.0,1704.0,1
90,ALXN,2008-05-12,13915.0,25535.0,1
91,ALXN,2008-06-03,72.0,348.0,1
92,ALXN,2008-07-29,870.0,1882.0,1
93,ALXN,2008-08-07,5482.0,10198.0,1
94,ALXN,2008-10-23,930.0,1930.0,1
95,ALXN,2008-10-30,5493.0,10123.0,1
96,ALXN,2008-11-12,215.0,729.0,1
97,ALXN,2009-01-05,281.0,850.0,1
98,ALXN,2009-02-05,453.0,1322.0,2
99,ALXN,2009-02-12,917.0,2071.0,1
100,ALXN,2009-02-23,10680.0,19395.0,1
101,ALXN,2009-04-09,100.0,390.0,1
102,ALXN,2009-04-17,97.0,383.0,1
103,ALXN,2009-04-23,755.0,1708.0,1
104,ALXN,2009-05-08,6092.0,11677.0,1
105,ALXN,2009-05-29,114.0,391.0,1
106,ALXN,2009-06-02,297.0,661.0,1
107,ALXN,2009-07-01,420.0,1009.0,1
108,ALXN,2009-07-23,968.0,1965.0,1
109,ALXN,2009-07-24,6452.0,11880.0,1
110,ALXN,2009-09-24,865.0,1218.0,1
111,ALXN,2009-10-22,914.0,1887.0,1
112,ALXN,2009-11-05,6992.0,12936.0,1
113,ALXN,2009-12-02,381.0,1147.0,1
114,ALXN,2010-01-28,188.0,480.0,1
115,ALXN,2010-01-29,242.0,381.0,1
116,ALXN,2010-02-11,1039.0,2186.0,1
117,ALXN,2010-02-23,9724.0,17903.0,1
118,ALXN,2010-02-24,222.0,695.0,1
119,ALXN,2010-04-16,432.0,1019.0,1
120,ALXN,2010-04-22,746.0,1756.0,1
121,ALXN,2010-05-05,5956.0,11437.0,1
122,ALXN,2010-05-14,2232.0,3885.0,1
123,ALXN,2010-06-03,533.0,1340.0,1
124,ALXN,2010-07-22,856.0,1852.0,1
125,ALXN,2010-07-30,10680.0,17854.0,1
126,ALXN,2010-08-19,124.0,410.0,1
127,ALXN,2010-09-17,1492.0,2433.0,1
128,ALXN,2010-10-21,1227.0,2606.0,1
129,ALXN,2010-11-02,9400.0,16357.0,1
130,ALXN,2011-01-28,86.0,348.0,1
