date,sp500
6/10/2011,2155
6/13/2011,2157.149902
6/14/2011,2184.47998
6/15/2011,2146.449951
6/16/2011,2150.580078
6/17/2011,2157.139893
6/20/2011,2168.800049
6/21/2011,2198.149902
6/22/2011,2184.030029
6/23/2011,2177.850098
6/24/2011,2152.310059
6/27/2011,2172.080078
6/28/2011,2200.679932
6/29/2011,2219.199951
6/30/2011,2241.659912
7/1/2011,2274.26001
7/5/2011,2271.290039
7/6/2011,2274.419922
7/7/2011,2298.310059
7/8/2011,2282.320068
7/11/2011,2241.070068
7/12/2011,2231.149902
7/13/2011,2238.290039
7/14/2011,2223.290039
7/15/2011,2235.649902
7/18/2011,2217.550049
7/19/2011,2253.709961
7/20/2011,2252.52002
7/21/2011,2283.22998
7/22/2011,2285.340088
7/25/2011,2272.469971
7/26/2011,2263.149902
7/27/2011,2217.290039
7/28/2011,2210.330078
7/29/2011,2196.080078
8/1/2011,2187
8/2/2011,2131.100098
8/3/2011,2142.560059
8/4/2011,2040.199951
8/5/2011,2039.040039
8/8/2011,1903.469971
8/9/2011,1993.76001
8/10/2011,1906.530029
8/11/2011,1995.140015
8/12/2011,2005.670044
8/15/2011,2049.51001
8/16/2011,2029.920044
8/17/2011,2032.410034
8/18/2011,1941.920044
8/19/2011,1912.77002
8/22/2011,1913.27002
8/23/2011,1978.890015
8/24/2011,2005.130005
8/25/2011,1973.959961
8/26/2011,2004.109985
8/29/2011,2061.050049
8/30/2011,2066.370117
8/31/2011,2076.780029
9/1/2011,2052.300049
9/2/2011,2000.5
9/6/2011,1985.670044
9/7/2011,2043.050049
9/8/2011,2021.420044
9/9/2011,1967.469971
9/12/2011,1981.300049
9/13/2011,2000.079956
9/14/2011,2027.040039
9/15/2011,2062.25
9/16/2011,2074.060059
9/19/2011,2053.73999
9/20/2011,2050.389893
9/21/2011,1990.199951
9/22/2011,1926.76001
9/23/2011,1938.72998
9/26/2011,1983.969971
9/27/2011,2005.189941
9/28/2011,1964.199951
9/29/2011,1980.22998
9/30/2011,1930.790039
10/3/2011,1875.949951
10/4/2011,1918.390015
10/5/2011,1953.670044
10/6/2011,1989.609985
10/7/2011,1973.420044
10/10/2011,2040.76001
10/11/2011,2041.900024
10/12/2011,2062.219971
10/13/2011,2056.26001
10/14/2011,2091.98999
10/17/2011,2051.540039
10/18/2011,2093.429932
10/19/2011,2067.280029
10/20/2011,2076.75
10/21/2011,2115.860107
10/24/2011,2143.129883
10/25/2011,2100.169922
10/26/2011,2122.320068
10/27/2011,2195.219971
10/28/2011,2196.129883
10/31/2011,2141.810059
11/1/2011,2081.969971
11/2/2011,2115.699951
11/3/2011,2155.870117
11/4/2011,2142.340088
11/7/2011,2156
11/8/2011,2182.610107
11/9/2011,2102.719971
11/10/2011,2121.139893
11/11/2011,2162.47998
11/14/2011,2142.090088
11/15/2011,2152.800049
11/16/2011,2117.639893
11/17/2011,2082.100098
11/18/2011,2081.419922
11/21/2011,2042.709961
11/22/2011,2034.410034
11/23/2011,1989.540039
11/25/2011,1984.5
11/28/2011,2042.800049
11/29/2011,2048.060059
11/30/2011,2137.080078
12/1/2011,2133.070068
12/2/2011,2132.639893
12/5/2011,2154.679932
12/6/2011,2157.100098
12/7/2011,2162.070068
12/8/2011,2116.409912
12/9/2011,2152.149902
12/12/2011,2120.149902
12/13/2011,2102.149902
12/14/2011,2078.51001
12/15/2011,2085.439941
12/16/2011,2092.179932
12/19/2011,2067.669922
12/20/2011,2129.669922
12/21/2011,2133.860107
12/22/2011,2152.040039
12/23/2011,2171.5
12/27/2011,2171.709961
12/28/2011,2145.090088
